Business Name,Address,Latitude,Longitude,Phone,Category,Website
Gonzaga Univeristy (Map Center),"502 E Boone Ave, Spokane, WA 99258",47.6683691,-117.4029699,,,
Bistango Martini Lounge,"108 N Post St Spokane, WA 99201",47.6580746,-117.4233883,(509) 624-8464,Dining,https://www.bistangolounge.com/
Boiada Brazilian Grill,"245 W Spokane Falls Blvd Spokane, WA 99201",47.6598416,-117.4152386,(509) 820-3199,Dining,https://boiadabraziliangrill.com/
Brain and Body Therapy,"126 N Washington St. Spokane, WA 99201",47.4955244,-117.5865545,(509) 879-7363,Professional Services,https://brainandbodytherapy.com/
Chicken-N-Mo: Southern Style Cookin',"414 1/2 W Sprague Ave Spokane, WA 99201",47.6573551,-117.4187607,(509) 838-5071,Dining,http://chicken-n-more.com/
CT3 Insurance Agency,"1119 W 1st Ave Suite E Spokane, WA 99201",47.6564525,-117.4284551,(509) 723-6782,Professional Services,https://www.facebook.com/insurancespokane
Downtown Grocery III,"501 W. Sprague Ave. Spokane, WA 99201",47.6571973,-117.4225788,,Retail,
"Francesca's Collections, Inc","808 W Main Ave Spokane, WA 99201",47.6593642,-117.42384,(509) 624-1599,Retail,https://www.francescas.com/store-locator/river-park-square.do
From Here,"808 W Main Ave Spokane, WA 99201",47.6593642,-117.42384,(509) 850-0050,Retail,https://www.terrainspokane.com/fromhere
Indaba Coffee Roasters,"518 W Riverside Ave Spokane, WA 99201",47.6582557,-117.4205175,(509) 822-7182,Dining,http://www.indabacoffee.com/
Indigenous Eats,"808 W Main Ave Spokane, WA 99201",47.6593642,-117.42384,(509) 850-9292,Dining,https://www.iespokane.com/
Kindnss,"522 W 1st Ave Spokane, WA 99201",47.6566644,-117.4199819,(509) 496-1708,Professional Services,http://kindnss.com/
Makiel’s Lobster Roll’s,"115 N. Washington St. Spokane, WA 99201",47.4955244,-117.5865545,,Dining,https://www.instagram.com/makielslobsterrolls/
Malsam Tsang Structural Engineering,"707 W Main Ave #B9 Spokane, WA 99201",47.6588707,-117.4223057,(509) 389-4922,Professional Services,https://www.malsam-tsang.com/
Native Gaming,"921 W Broadway Ave Spokane, WA 99201",47.6643075,-117.4255123,,Professional Services,https://t.co/k3KIpui9AQ
NUDO Ramen House,"818 W Sprague Ave Mystery Bldg Spokane, WA 99201",47.6572725,-117.4238965,(509) 290-5763,Dining,http://www.nudoramen.com/
Queen of Sheba,"621 W Mallon Ave #426 Flour Mill Spokane, WA 99201",47.6652969,-117.4273533,(509) 328-3958,Dining,
Sirinya's Thai Restaurant,"230 W Riverside Ave. Spokane, WA 99201",47.6580525,-117.4139733,(509) 315-5055,Dining,https://sirinyasthairestaurantandloung.com/
Skewers,"1007 W. 1st Ave. Spokane, WA 99201",47.6564614,-117.4267899,(509) 456-5656,Dining,https://skewerstruck.com/
Spero Law Firm,"316 W. Sprague Ave. Suite 316 Spokane, WA 99201",47.6571973,-117.4225788,(509) 443-3953,Professional Services,https://www.sperolawfirm.com/
Terrain Gallery,"628 N Monroe St Spokane, WA 99201",47.6613184,-117.4265976,,Entertainment,https://www.terrainspokane.com/
The Mango Tree,"401 W Main Ave, Spokane, WA 99201",47.6588823,-117.4182458,(509) 242-3943,Dining,http://www.themangotreerestaurants.com/
First Avenue Coffee,"1011 W 1st Ave., Suite A Spokane, WA 99201",47.6563049,-117.4272065,(509) 863-9442,Dining,https://firstavenuecoffee.com/
nYne Bar & Bistro,"232 W Sprague Ave Spokane, WA 99201",47.6571973,-117.4225788,(509) 280-4103,Entertainment,https://www.nynebar.com/
The Q Lounge,"228 W. Sprague Spokane, WA 99201",47.6572235,-117.4169991,(509) 934-1999,Entertainment,https://www.facebook.com/profile.php?id=61559836496699
